t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.Z1_heat_feedin,local_heat_grid.Z2_heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.FW_to_NW,heat_grid.bin_excess_active,heat_grid.bin_FW_to_NW_active,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_Z1_FW,stratified_storage.Q_dot_Z1_NW,stratified_storage.Q_dot_Z2_NW,stratified_storage.U_Z1,stratified_storage.U_Z2,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814819,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.3225777158149064,0.0,153.45,0.0,115.976,19.421999999999997,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-19.421999999999997,19.421999999999997,0.0,19.421999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814819,3.115000000000001,2.9800159002777793,0.8158333333333337,0.5395521166666669,3.7083333333333353,0.12949250800000006,-0.685000000006712,0.685,0.0,3250.6850000000068,1.0,1.0,-0.0,2.9800159002777793,0.0,0.0,1.3225777158149064,0.0,1.657438184462873,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814814,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.3748408683440645,0.0,153.45,0.0,115.976,18.277,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-18.277,18.277,0.0,37.699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3251.3700000000067,1.0,1.0,-0.0,2.9800159002777775,0.0,0.0,1.3748408683440645,0.0,3.262613216396586,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814816,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.3690296776543576,0.0,153.45,0.0,115.976,20.65849999999999,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-20.65849999999999,20.65849999999999,0.0,58.35749999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814816,3.1149999999999998,2.980015900277778,0.8158333333333334,0.5395521166666667,3.708333333333334,0.129492508,-0.685,0.685,0.0,3252.0550000000067,1.0,1.0,-0.0,2.980015900277778,0.0,0.0,1.3690296776543576,0.0,4.873599439020007,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814814,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.4204523757312997,0.0,153.45,0.0,115.976,20.232,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-20.232,20.232,0.0,78.58949999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3252.7400000000066,1.0,1.0,-0.0,2.9800159002777775,0.0,0.0,1.4204523757312997,0.0,6.433162963566485,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814816,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.4651911424090494,0.0,153.45,0.0,115.976,21.936999999999998,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-21.936999999999998,21.936999999999998,0.0,100.52649999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814816,3.1149999999999998,2.980015900277778,0.8158333333333334,0.5395521166666667,3.708333333333334,0.129492508,-0.685,0.685,0.0,3253.4250000000065,1.0,1.0,-0.0,2.980015900277778,0.0,0.0,1.4651911424090494,0.0,7.947987721435213,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-91.19351851851852,4.906481481481482,96.1,153.45,0.0,3.8,3.8,0.0,0.0,1.794257431193237,0.0,153.45,0.0,115.976,21.132999999999996,-0.0,0.0,0.0,1.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,-21.132999999999996,21.132999999999996,0.0,121.65949999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3254.1100000000065,1.0,1.0,-0.0,2.9800159002777775,0.0,0.0,1.794257431193237,0.0,9.133746190519753,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-93.19351851851852,2.9064814814814817,96.1,153.45,0.0,3.8,3.8,0.0,0.0,2.0578563910896768,0.0,153.45,0.0,115.976,21.369,-0.0,0.0,0.0,1.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,-21.369,21.369,0.0,143.02849999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3254.7950000000064,1.0,1.0,-0.0,2.9800159002777775,0.0,0.0,2.0578563910896768,0.0,10.055905699707854,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-95.19351851851852,0.9064814814814814,96.1,153.45,0.0,3.8,3.8,0.0,0.0,2.085524903864958,0.0,153.45,0.0,115.976,19.094499999999996,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,-19.094499999999996,19.094499999999996,0.0,162.123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3255.4800000000064,1.0,1.0,-0.0,2.9800159002777775,0.0,0.0,2.085524903864958,0.0,10.950396696120674,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-99.39147851851851,0.9064814814814814,100.29795999999999,153.45,0.0,3.8,3.8,0.0,0.0,2.5295032837296487,0.0,153.45,0.0,115.976,11.123000000000005,-0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,-11.123000000000005,11.123000000000005,0.0,173.24599999999998,1.0,0.0,0.19796,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3256.1650000000063,1.0,1.0,0.0018810651128574418,2.9800159002777775,0.0,0.0,2.5295032837296487,0.0018810651128574418,11.400909312668801,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,5,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.9,25.0,6,5,488,1.31,303.15,353.15,1000000,4500000,4500000,1000000,298.15,418.15,358.15,298.15,1490,1710,650,650,0.9,25.0,6,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,1.0,153.45,48.05,57.988,15.762,1.9,76.725,76.725,-97.69135851851851,0.9064814814814814,98.59783999999999,153.45,0.0,3.8,3.8,0.0,0.0,2.549405857771298,0.0,153.45,0.0,115.976,4.685500000000005,-0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,-4.685500000000005,4.685500000000005,0.0,177.93149999999997,1.0,0.0,0.49784,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064814814814814,3.1149999999999993,2.9800159002777775,0.8158333333333333,0.5395521166666666,3.708333333333333,0.12949250799999998,-0.685,0.685,0.0,3256.85,1.0,1.0,2.473907276279058,2.9800159002777775,0.0,0.0,2.549405857771298,2.475788341392004,11.831519355175281,9.7859375,0.6436288679546543,6.298511875,5.969166666666666,0.6119323747033366,3.6527263333333333
