t,gas_price,power_price,hydrogen_price,heat_demand,local_heat_demand,supply_temperature,return_temperature,solar_thermal_heat_profile,normalized_solar_thermal_heat_profile,heatpump_s1.delta_T_min,heatpump_s1.R,heatpump_s1.k,heatpump_s1.T_q,heatpump_s1.T_k,heatpump_s1.p1,heatpump_s1.p2,heatpump_s1.p3,heatpump_s1.p4,heatpump_s1.T1,heatpump_s1.T2,heatpump_s1.T3,heatpump_s1.T4,heatpump_s1.h1,heatpump_s1.h2,heatpump_s1.h3,heatpump_s1.h4,heatpump_s1.max_volume_flow_compressor,heatpump_s1.electrical_efficiency_compressor,heatpump_s1.n,heatpump_s1.z,heatpump_s2.delta_T_min,heatpump_s2.R,heatpump_s2.k,heatpump_s2.T_q,heatpump_s2.T_k,heatpump_s2.p1,heatpump_s2.p2,heatpump_s2.p3,heatpump_s2.p4,heatpump_s2.T1,heatpump_s2.T2,heatpump_s2.T3,heatpump_s2.T4,heatpump_s2.h1,heatpump_s2.h2,heatpump_s2.h3,heatpump_s2.h4,heatpump_s2.max_volume_flow_compressor,heatpump_s2.electrical_efficiency_compressor,heatpump_s2.n,heatpump_s2.z,chp_1.bin,chp_1.gas,chp_1.power,chp_1.heat,chp_1.co2,chp_1.waste_heat,chp_1.natural_gas,chp_1.hydrogen,chp_2.bin,chp_2.gas,chp_2.power,chp_2.heat,chp_2.co2,chp_2.waste_heat,chp_2.natural_gas,chp_2.hydrogen,electrical_grid.power_balance,electrical_grid.power_supply,electrical_grid.power_feedin,hydrogen_grid.hydrogen_supply,waste_heat_grid.heat_balance,waste_heat_grid.heat_supply,waste_heat_grid.heat_feedin,local_heat_grid.heat_balance,local_heat_grid.Z1_heat_feedin,local_heat_grid.Z2_heat_feedin,local_heat_grid.district_heat_feedin,ngas_grid.ngas_supply,heat_grid.heat_balance,heat_grid.heat_feedin,heat_grid.heat_supply,heat_grid.excess_heat_feedin,heat_grid.FW_to_NW,heat_grid.bin_excess_active,heat_grid.bin_FW_to_NW_active,battery_storage.power_balance,battery_storage.power_charging,battery_storage.power_discharging,battery_storage.power_content,battery_storage.bin_discharge,battery_storage.bin_charge,battery_storage.bin_switch,heat_storage.heat_balance,heat_storage.heat_charging,heat_storage.heat_discharging,heat_storage.heat_content,heat_storage.bin_charge,heat_storage.bin_discharge,pv.power,solar_thermal.bin,solar_thermal.heat,heatpump_s1.power,heatpump_s1.heat_input,heatpump_s1.heat,heatpump_s1.capacity_compressor,heatpump_s1.volume_flow,heatpump_s1.massflow_refigerant,heatpump_s1.swept_volume,heatpump_s2.power,heatpump_s2.heat_input,heatpump_s2.heat,heatpump_s2.capacity_compressor,heatpump_s2.volume_flow,heatpump_s2.massflow_refigerant,heatpump_s2.swept_volume,geo_heat_storage.heat_balance,geo_heat_storage.heat_charging,geo_heat_storage.heat_discharging,geo_heat_storage.heat_content,geo_heat_storage.bin_charge,geo_heat_storage.bin_discharge,stratified_storage.Q_dot_ST,stratified_storage.Q_dot_WP,stratified_storage.Q_dot_Z1_FW,stratified_storage.Q_dot_Z1_NW,stratified_storage.Q_dot_Z2_NW,stratified_storage.U_Z1,stratified_storage.U_Z2,heatpump_s1.ideal_cop,heatpump_s1.d,heatpump_s1.real_cop,heatpump_s2.ideal_cop,heatpump_s2.d,heatpump_s2.real_cop
1,70.037,114.12,197.35023348238866,96.554,1.3225777158149064,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-127.92663701578192,1.2513629842180776,129.178,311.6,0.0,3.8,3.8,0.0,0.0,1.3225777158149064,0.0,0.0,0.0,150.982,54.428,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-54.428,54.428,0.0,54.428,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180776,3.115,3.309172081463415,1063.658536585366,0.6547504819277107,3.798780487804878,0.15714011566265057,-0.685,0.685,0.0,0.685,1.0,1.0,-0.0,3.309172081463415,0.0,0.0,1.3225777158149064,0.0,1.9865943656485086,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
2,70.037,113.79,197.35023348238866,97.699,1.3748408683440645,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-31.283670014347198,1.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,1.3748408683440645,0.0,0.0,0.0,97.699,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.692999999999998,0.0,17.692999999999998,36.735,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,1.37,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,1.3748408683440645,0.0,3.1774407176910096,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
3,70.037,113.79,197.35023348238866,95.31750000000001,1.3690296776543576,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,113.89351020063124,42.31862043507667,59.176000000000016,0.0,1.7620801397655548,0.0,113.89351020063124,-105.71166284664861,1.1959575884280562,106.90762043507667,269.69351020063124,0.0,3.6620801397655542,3.6620801397655542,0.0,0.0,1.3690296776543576,0.0,0.0,0.0,134.66700000000003,39.349500000000006,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-39.349500000000006,39.349500000000006,0.0,76.0845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1959575884280562,2.977080139765554,3.1626550506553364,1016.5639501638478,0.625760724317468,3.6305855362994564,0.15018257383619232,-0.685,0.685,0.0,2.055,1.0,1.0,-0.0,3.1626550506553364,0.0,0.0,1.3690296776543576,0.0,4.801390756367288,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
4,70.037,111.79,197.35023348238866,95.744,1.4204523757312997,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-31.283670014347198,1.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,1.4204523757312997,0.0,0.0,0.0,95.744,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.738,0.0,15.738,60.346500000000006,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,2.74,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,1.4204523757312997,0.0,5.796315473758171,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
5,70.037,111.78,197.35023348238866,94.039,1.4651911424090494,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-31.283670014347198,1.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,1.4651911424090494,0.0,0.0,0.0,94.039,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,14.033000000000001,0.0,14.033000000000001,46.313500000000005,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,3.4250000000000003,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,1.4651911424090494,0.0,6.693372444562631,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
6,70.037,111.78,197.35023348238866,94.843,1.794257431193237,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-27.283670014347198,5.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,1.794257431193237,0.0,0.0,0.0,94.843,0.0,-0.0,0.0,0.0,1.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,14.837000000000003,0.0,14.837000000000003,31.4765,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,4.11,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,1.794257431193237,0.0,7.213460284341946,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
7,70.037,111.78,197.35023348238866,94.607,2.0578563910896768,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-29.283670014347198,3.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,2.0578563910896768,0.0,0.0,0.0,94.607,0.0,-0.0,0.0,0.0,1.0,-2.0,2.0,0.0,6.0,0.0,1.0,0.0,14.600999999999999,0.0,14.600999999999999,16.875500000000002,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,4.795,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,2.0578563910896768,0.0,7.442176473580606,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
8,70.037,111.78,197.35023348238866,96.8815,2.085524903864958,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-31.283670014347198,1.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,2.085524903864958,0.0,0.0,0.0,96.8815,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,16.875500000000002,0.0,16.875500000000002,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,5.48,1.0,1.0,-0.0,2.671771359512196,0.0,0.0,2.085524903864958,0.0,7.63101070553864,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
9,70.037,151.32,197.35023348238866,104.853,2.5295032837296487,80.0,55.0,0.0002548868716609,0.0002548868716609,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-132.12459701578192,1.2513629842180773,133.37596,311.6,0.0,3.8,3.8,0.0,0.0,2.5295032837296487,0.0,0.0,0.0,150.982,46.129000000000005,-0.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,1.0,-0.0,0.0,-46.129000000000005,46.129000000000005,0.0,46.129000000000005,1.0,0.0,0.19796,1.0,0.0018810651128574418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,6.165000000000001,1.0,1.0,0.0018810651128574418,3.3091720814634145,0.0,0.0,2.5295032837296487,0.0018810651128574418,8.003183531596642,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
10,70.037,151.32,197.35023348238866,111.2905,2.549405857771298,80.0,55.0,0.3352177881136935,0.3352177881136935,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.58900000000006,75.49100000000004,0.0,1.9,0.0,155.8,-130.42447701578197,1.2513629842180773,131.67584000000005,311.6,0.0,3.8,3.8,0.0,0.0,2.549405857771298,0.0,0.0,0.0,150.98200000000003,39.69150000000005,-0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,-0.0,0.0,-39.69150000000005,39.69150000000005,0.0,85.82050000000005,1.0,0.0,0.49784,1.0,2.473907276279058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,6.85,1.0,1.0,2.473907276279058,3.3091720814634145,0.0,0.0,2.549405857771298,2.475687892514889,8.335579754701499,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
11,70.037,148.86,197.35023348238866,92.264,2.50901451296318,80.0,55.0,0.9234408937558466,0.9234408937558466,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-31.534550014347193,1.010329985652798,32.54487999999999,129.29199999999997,0.0,3.2,3.2,0.0,0.0,2.50901451296318,0.0,0.0,0.0,86.36399999999999,0.0,5.9,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,6.357999999999997,0.0,6.357999999999997,79.46250000000006,0.0,1.0,0.25088,1.0,6.814993795918148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,7.535000000000002,1.0,1.0,6.814993795918148,2.671771359512196,5.9,0.0,2.50901451296318,3.2584799549727412,8.053216642349454,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
12,70.037,148.86,197.35023348238866,81.636,2.3149697623022414,80.0,55.0,0.6452578749757606,0.6452578749757606,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,1.0,64.64599999999999,16.147,40.003,0.0,1.6,0.0,64.64599999999999,-27.283670014347198,5.010329985652798,32.294,129.29199999999997,0.0,3.2,3.2,0.0,0.0,2.3149697623022414,0.0,0.0,0.0,81.636,0.0,-0.0,0.0,0.0,1.0,-4.0,4.0,0.0,4.0,0.0,1.0,1.0,1.6299999999999955,0.0,1.6299999999999955,77.83250000000007,0.0,1.0,0.0,1.0,4.762003117321113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010329985652798,2.5150000000000006,2.671771359512196,858.7804878048784,0.5286348192771084,3.0670731707317085,0.126872356626506,-0.685,0.685,0.0,8.220000000000002,1.0,1.0,4.762003117321113,2.671771359512196,0.0,0.0,2.3149697623022414,7.846480242698309,7.979976470857949,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
13,70.037,148.86,197.35023348238866,69.94800000000001,2.214325980473928,80.0,55.0,0.0272859362341248,0.0272859362341248,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,97.61552066737988,33.66800313940383,52.83866655817603,0.0,1.7085071000747523,0.0,97.61552066737988,-97.08256700164065,1.1744361377631716,98.25700313940382,253.4155206673799,0.0,3.608507100074752,3.608507100074752,0.0,0.0,2.214325980473928,0.0,0.0,0.0,128.32966655817603,58.38166655817602,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,-0.0,1.0,-58.38166655817602,58.38166655817602,0.0,136.2141665581761,1.0,0.0,0.0,1.0,0.201370209407841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1744361377631716,2.923507100074752,3.1057425603619384,998.2707170986959,0.614500058649447,3.5652525610667705,0.14748001407586728,-0.685,0.685,0.0,8.905000000000003,1.0,1.0,0.201370209407841,3.1057425603619384,0.0,0.0,2.214325980473928,7.6288484071460605,8.445262307202146,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
14,70.037,148.86,197.35023348238866,70.9615,2.107718519129761,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-125.92663701578192,3.251362984218077,129.178,311.6,0.0,3.8,3.8,0.0,0.0,2.107718519129761,0.0,0.0,0.0,150.982,85.9205,5.9,0.0,1.0,-0.0,-2.0,2.0,0.0,6.0,0.0,1.0,1.0,-85.9205,85.9205,0.0,222.1346665581761,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,9.590000000000003,1.0,1.0,-0.0,3.3091720814634145,5.9,0.0,2.107718519129761,1.321467902204461,9.195738862331206,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
15,70.037,151.32,197.35023348238866,76.8875,2.030303162242924,80.0,55.0,0.0548688246066607,0.0548688246066607,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-127.92663701578192,1.2513629842180773,129.178,311.6,0.0,3.8,3.8,0.0,0.0,2.030303162242924,0.0,0.0,0.0,150.982,75.7503334418239,1.6558334418238987,0.0,1.0,-0.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,-75.7503334418239,75.7503334418239,0.0,297.885,1.0,0.0,0.0,1.0,0.40493192559715596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,10.275000000000004,1.0,1.0,0.40493192559715596,3.3091720814634145,1.6558334418238987,0.0,2.030303162242924,0.0,9.983555326303211,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
16,70.037,174.05,197.35023348238866,90.12,2.143154068716813,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-127.92663701578192,1.2513629842180773,129.178,311.6,0.0,3.8,3.8,0.0,0.0,2.143154068716813,0.0,0.0,0.0,150.982,60.861999999999995,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,-60.861999999999995,60.861999999999995,0.0,358.747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,10.960000000000004,1.0,1.0,-0.0,3.3091720814634145,0.0,0.0,2.143154068716813,0.0,10.616451484625221,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
17,70.037,208.02,197.35023348238866,97.587,2.427362385273303,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-127.92663701578192,1.2513629842180773,129.178,311.6,0.0,3.8,3.8,0.0,0.0,2.427362385273303,0.0,0.0,0.0,150.982,53.394999999999996,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,6.0,1.0,-0.0,1.0,-53.394999999999996,53.394999999999996,0.0,412.142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,11.645000000000005,1.0,1.0,-0.0,3.3091720814634145,0.0,0.0,2.427362385273303,0.0,10.931342671536347,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
18,70.037,208.02,197.35023348238866,103.3205,2.525871697460832,80.0,55.0,0.0,0.0,10,488,1.31,289.15,308.15,550000.0,1600000,1600000,550000.0,281.15,358.15,313.15,281.15,1480,1625,395,395,0.07138888888888889,0.85,25.0,6,10,488,1.31,303.15,353.15,830000.0000000001,5200000,5200000,830000.0000000001,293.15,443.15,363.15,293.15,1480,1760,660,660,0.15666666666666668,0.85,25.0,6,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,1.0,155.8,64.589,75.491,0.0,1.9,0.0,155.8,-127.92663701578192,1.2513629842180773,129.178,311.6,0.0,3.8,3.8,0.0,0.0,2.525871697460832,0.0,0.0,0.0,150.982,47.661500000000004,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,-47.661500000000004,47.661500000000004,0.0,459.8035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513629842180773,3.1149999999999998,3.3091720814634145,1063.658536585366,0.6547504819277106,3.7987804878048776,0.15714011566265054,-0.685,0.685,0.0,12.330000000000005,1.0,1.0,-0.0,3.3091720814634145,0.0,0.0,2.525871697460832,0.0,11.13090935687889,9.7859375,0.6436288679546543,6.298511875,5.187857142857142,0.5996931846344487,3.1111225714285715
